# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:26:24
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/521/521-ventricle
# Object ID: d04e60a0-1771-4678-b533-d1674128e261
# Object type: Region
# Object creation time: 2024-03-22 09:30:07
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 11982;Spot 11983;Spot 12084;Spot 12085;Spot 12086;Spot 12186;Spot 12187;Spot 12188;Spot 12287;Spot 12288;Spot 12289;Spot 12388;Spot 12389;Spot 12390;Spot 12488;Spot 12489;Spot 12490;Spot 12587;Spot 12588;Spot 12589;Spot 12686;Spot 12687;Spot 12688;Spot 12784;Spot 12785;Spot 12786;Spot 12877;Spot 12878;Spot 12883;Spot 12884;Spot 12885;Spot 12974;Spot 12975;Spot 12976;Spot 12980;Spot 12981;Spot 12982;Spot 13072;Spot 13073;Spot 13074;Spot 13077;Spot 13078;Spot 13079;Spot 13168;Spot 13169;Spot 13170;Spot 13171;Spot 13173;Spot 13174;Spot 13175;Spot 13263;Spot 13264;Spot 13265;Spot 13266;Spot 13267;Spot 13268;Spot 13269;Spot 13270;Spot 13360;Spot 13361;Spot 13362;Spot 13363;Spot 13364;Spot 13365;Spot 13456;Spot 13457;Spot 13458;Spot 13459;Spot 13552;Spot 13553;Spot 13647
290.08751819512;97305.651199825;69070.039386081;80629.272792017;64164.633457498;83966.756914038;63860.287412141;63883.399373069;65753.237503709;76859.091225252;57761.152033289;65238.278560099;81502.070156261;74012.299838982;73790.1302379;58519.006115852;73150.21765556;73230.306308449;57962.864500754;58905.700792439;61804.132714739;70625.279434083;70947.287636185;58627.698458841;67163.113273731;77031.866778864;57928.887743566;74377.717777944;73085.946641434;62007.480364226;55539.559258418;74175.28949204;75881.269538864;75446.727888602;72523.126911723;46207.65196853;66505.776784649;54103.44094965;80789.412044948;78342.492099863;70354.201369655;56341.169857395;63608.746096688;68159.765791742;74881.424123747;66020.223231271;81082.018723402;91142.41165933;28633.364948612;73639.259304498;52603.858562705;76397.901590277;93975.428191022;71068.683991068;81184.769094658;73208.118384936;49825.375244538;55654.621727113;63785.978403917;70397.26194374;75662.920343917;67485.525780053;83776.978340816;53289.646449724;58631.800904709;62076.926063245;63013.287901368;62185.93818653;56689.267750397;89867.803113194;82801.20738527;53484.748988835
300.03881791912;29502.052548924;16479.69550183;10098.225316014;10112.956429758;12633.153259463;8825.4113617136;6336.4423598849;14256.624078185;9634.2780213174;15748.291501129;18175.520328049;12402.967840876;16338.440782842;11542.951575222;14713.400930457;9174.1571132758;26688.795482065;10383.827624154;15489.238562979;18824.977587789;10462.031485938;9001.0217779569;36068.808916416;13625.706875769;6315.0610172723;14721.783272157;20779.821881589;12046.391328195;7033.3036663312;15132.649738703;11952.537114296;13070.674529127;13339.574753529;7498.7704165332;13317.672844309;14104.741001493;35664.094907407;9696.2463093301;10560.948550089;10640.21357895;10395.598107562;8883.7079253431;5536.5714025562;9834.4250502437;5141.2703405803;10013.758449663;4943.7764185285;13845.286471327;9625.7049370384;26694.040062869;6580.2073120145;12297.735194967;10610.777235005;10493.528438227;16727.380422585;16858.887509942;13249.119179074;16741.568540186;11379.936864943;10195.706455335;11199.533289999;8444.6684945158;7221.4805147844;5102.3159483306;6234.4826254608;12112.34138397;18530.066302414;6183.6719713318;0;6786.5508834226;5762.2083755383
303.23234061941;323011.47252874;277693.52293484;330550.68401935;265019.88395859;349961.71530322;322198.01830907;344741.81557806;336623.63843672;322234.79596694;316037.36088545;304402.89152503;342412.62907458;323148.93449786;308862.59795278;349200.14045678;357598.79493708;334309.56574776;310223.60107945;316048.67262321;291591.52354362;375733.8850488;330888.06162166;264263.55494489;288295.45813808;378705.19431864;331805.97000769;257052.81425572;260259.29979667;326759.95934575;281137.57868407;300145.43738699;251118.62367748;257396.18736744;246908.12808913;251438.78636857;309027.32502824;281833.17900137;233211.43103455;285843.63970743;281614.89037859;293837.69146337;359402.72704728;303161.70697795;290913.05849855;245424.40159285;302514.01165692;346400.17690424;240883.2058888;353597.84580955;294355.64750492;269117.7361943;287556.52719695;271004.58563671;335957.99752448;304662.52198428;299892.87643875;330486.34056306;307168.43244935;269715.95762677;289150.02141342;295034.95163681;376123.43635441;320349.56681106;318169.20593136;307368.34149366;283580.98478991;268068.77128121;316269.2674563;310261.28640377;313860.83327232;316282.39106563
304.23564351392;72285.055645186;56926.748109588;69800.386181672;57973.945018313;75264.890012926;62527.90829467;67294.386469469;64170.456872784;74864.350134858;60154.140716651;65750.997427221;74785.161936933;74493.142266876;69949.460268733;76576.034906188;73135.76490443;65196.216795521;63407.51696632;62288.9510062;54187.950203804;79426.551951934;59073.56478453;59703.315921995;55265.763929395;69075.561694725;72544.106572253;61919.943749275;54296.003761875;81639.208447642;63039.939670934;66114.953465335;53723.293667203;50269.225048756;51606.874245702;54016.990274947;66855.787713585;60879.572283053;52539.286885584;63716.273266787;60766.922146019;60252.768506751;75014.523934596;75931.270039023;70617.35361021;56060.802321476;66904.173335308;68100.268781331;55288.279519756;80588.73693178;82291.52686496;54452.286074186;60644.409415458;58314.972096548;74257.991958138;60265.067908315;61081.135413799;68292.930361061;66424.919070957;54559.22834065;60952.997432733;68165.979419989;94357.516232772;66675.046178608;62496.210812575;58476.381363864;55683.476843904;54725.643099088;70252.714943972;61193.055034924;68859.03981929;73829.631373524
306.07582677557;47497.60002082;57505.78337108;64201.493774875;50700.952056275;45148.032864733;68822.79839926;51540.118984736;38461.861418086;43210.764348815;52035.306165117;50280.246218543;51836.809652779;48423.726338498;42257.381114388;51001.81185534;39647.547445534;50835.321396084;39175.416310938;51634.997182259;49033.778574754;72665.775139995;45671.20104376;40131.034496294;57248.150972787;51678.606346008;37599.108901489;42802.024537072;60209.4091364;51750.418921957;53925.366817435;50731.369369431;56822.726873644;61154.747309039;59082.515817236;62988.445433028;49953.561547486;52108.543270519;56831.836737564;41909.102901473;53488.743233699;55403.388751999;52285.72546972;43777.995563025;52315.148078311;37428.557765509;57637.305819095;50699.396089977;57772.767848529;67242.49671813;78333.607074948;39049.605273975;44827.492360579;43067.251590495;49832.73738633;54791.260333535;44290.014155689;46678.486962653;49626.033410388;45548.656230501;44054.086667874;54823.828179274;71438.221311395;49577.669114254;52518.377830409;46748.148172316;48879.805489823;50174.908145493;58645.479840034;51268.677571316;44493.648793739;46151.194106019
307.09828294458;183659.14635754;189507.06096339;173529.13401143;160678.16597705;160304.65703391;168575.72993375;155576.42643437;209830.09555544;174519.57358612;167673.18622486;180138.77801146;164961.50712861;155841.46117499;158227.2382115;197509.33892838;182126.75436513;161069.04729881;177608.96533838;175290.22199728;161615.81836856;162928.78162994;165914.85603864;160815.25787173;175870.01926102;180418.33546746;206616.00773699;171093.58946816;169649.74598729;189402.69122704;158618.3332564;158440.2549789;164063.78989905;165440.21080145;153596.45054018;153968.76334812;173417.57489066;191235.84088381;147517.28265855;158578.71117752;183839.05477008;144399.1988972;175526.18789426;174246.02264586;171287.50828214;171333.69284358;152325.7365931;173824.94467497;155268.5248529;153470.86384457;150104.45133351;167671.97813916;170553.37320461;177245.70748258;168990.91886295;170107.77376443;158426.70304046;164958.68966086;151701.72772655;161345.40544097;167690.03649823;146326.61726517;166180.94822626;175655.58991751;159822.20513687;193306.5845712;145380.54862117;147900.49081735;157920.89624133;187264.21822046;156797.25076621;151471.21957791
308.10161253585;40115.223959876;46856.947152778;29495.985067871;36031.260443736;36391.79746777;31620.955079689;26783.988911823;43595.937321221;35525.413057495;45120.724441591;42802.548009658;44284.247517933;46042.849407818;26321.096582148;53374.551520371;41263.741703203;29617.64515158;34930.788630708;50845.461841463;32042.565292788;37799.133741335;33250.77440072;44368.721926915;23799.86851842;42575.059202623;43443.774354869;30352.187648272;30702.354305397;46748.845568287;26943.536873948;35888.887157463;48673.659278798;43782.760433596;41761.447071716;39620.429816725;32917.620290687;37349.371677393;30160.426738223;36109.431860077;50469.299865493;39161.653026701;38447.280042269;41951.075771902;47803.198496441;43026.587995988;32066.73883913;41944.636574314;36045.618822139;32933.124259755;35768.498163802;38536.182701041;45856.142689596;28984.46462172;36054.732610512;30195.147386115;46597.929611727;35873.088058225;38747.719098351;20563.829662892;54077.675060048;25719.710097229;32190.194263849;31134.293052313;33099.275177118;36288.460346982;41259.153471769;41751.117845978;43180.195965973;47936.794054281;33840.434571249;37822.480478137
311.16802631593;43635.677435443;24925.527686856;59868.767465796;39719.80929623;27529.270919691;30661.175024438;26408.363994216;33111.698771311;54202.333719344;39090.579992773;39835.523115188;37752.893664413;48758.599588016;21888.319561174;34358.812963876;49615.728011985;37016.886269588;33259.073549925;72656.203030003;41958.482626961;56205.228387681;56753.722510282;36595.648444969;47029.954657818;102732.58911714;57324.305828064;53107.203309299;70877.663017748;60013.290239978;47867.375420086;47174.359293922;40237.212804667;59279.948926449;78638.633077245;56498.017201136;81227.785948291;44218.852205728;53717.74538713;101958.34283151;49670.425858707;42412.676578433;58662.205933972;32269.355064704;25936.37021997;40964.867342476;40201.881583926;39257.846300599;29965.237364717;50196.850671539;31353.485744961;30848.927945934;61872.211891103;44401.704135471;48283.146099699;48545.776552699;39462.866809992;85342.628255949;34181.91126561;53412.296317323;25654.733712011;33767.433881333;38551.513580156;58697.69033908;29273.387159665;36794.59768821;36428.083462924;51245.047834495;45034.253212747;30078.297745584;41064.319131773;56762.090203237
315.04800833858;58018.858386865;59512.049451742;45427.71169936;47284.287521785;69119.35116383;49181.179277286;54366.468656883;58683.954008183;52219.96382171;61962.658020267;58609.649804413;56550.76157898;60288.025027868;50067.7044137;62585.507724714;59874.136739869;60042.329488789;53113.232369537;50550.620348251;45041.529684097;52861.668346251;50625.875412752;51148.275781475;44316.946940226;64523.391477022;62153.743449959;41631.556208325;40820.140066039;38589.714597385;50986.077430925;65563.198650995;47347.827072184;44559.033347892;41458.065348659;42322.301201175;49959.53027091;45257.262336838;43744.337706878;52598.509523892;47968.619125982;43596.39828816;56128.269956174;59362.461410696;60978.463725246;54058.0653688;64110.341014734;61032.898909232;35124.984906308;55094.44668837;46365.529617526;57498.198891635;58797.947841005;56872.706972007;60641.371390132;54674.494744208;52369.842222325;54807.111737856;54803.865395299;62660.764741574;59903.267104129;60162.605585711;57407.694974721;60549.239362243;54679.703476613;63140.973555656;51307.318490655;55246.187362111;58463.680989905;56872.555445774;67941.434105689;69846.26080786
323.02790657581;48061.127061827;58620.383695219;55668.701157184;47481.703551542;49336.988250841;51574.572515348;43574.861417452;36254.309824883;46536.292882729;37441.248351527;39699.420713761;50412.40420074;48178.387471635;35111.815293552;45133.07777225;45203.852152821;35309.550570955;46377.6465426;38476.548751644;31905.360277952;52208.456472358;34772.615650387;30488.318146411;37743.179424783;46033.781757728;30632.667071176;38925.8236323;34275.141746403;38136.402275133;31613.046431905;40345.345483017;42561.809365187;34424.41204174;38292.68229402;41699.305476401;33783.533645858;43155.575261447;41343.208177187;30263.374488707;37912.70147729;41176.898326105;34904.862365537;33064.215580615;22170.01400269;30559.665493867;38497.295527402;30171.063620814;42380.825164015;57705.564275696;35278.426317615;33001.548265938;35321.164616467;36332.970896362;34971.783265585;37238.642841303;37908.662781014;35200.165196862;36283.28214849;37217.29363631;28522.911120617;36164.108061662;38773.770136541;32302.434193803;33067.583144063;33304.35043339;30514.352397712;43717.579335931;56084.494351093;46043.383076328;42187.34550065;31966.778790311
