# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:34:42
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/522/522-corpus
# Object ID: 884e85d1-ebe5-4407-9da5-5e1b2f410136
# Object type: Region
# Object creation time: 2024-03-22 09:49:35
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 42464;Spot 42465;Spot 42466;Spot 42467;Spot 42468;Spot 42469;Spot 42470;Spot 42471;Spot 42472;Spot 42473;Spot 42474;Spot 42475;Spot 42476;Spot 42477;Spot 42478;Spot 42479;Spot 42480;Spot 42481;Spot 42482;Spot 42483;Spot 42484;Spot 42485;Spot 42558;Spot 42559;Spot 42560;Spot 42561;Spot 42562;Spot 42563;Spot 42564;Spot 42653;Spot 42654;Spot 42655;Spot 42656;Spot 42657;Spot 42749;Spot 42750;Spot 42751;Spot 42752;Spot 42753;Spot 42844;Spot 42845;Spot 42846;Spot 42847;Spot 42848;Spot 42849;Spot 42850;Spot 42941;Spot 42942;Spot 42943;Spot 42944;Spot 42945;Spot 42946;Spot 42947;Spot 42948;Spot 42949;Spot 43039;Spot 43040;Spot 43041;Spot 43042;Spot 43043;Spot 43044;Spot 43045;Spot 43046;Spot 43047;Spot 43048;Spot 43136;Spot 43137;Spot 43138;Spot 43139;Spot 43140;Spot 43147;Spot 43148;Spot 43236;Spot 43237;Spot 43238;Spot 43239;Spot 43336;Spot 43337
290.08751819512;10494.690249085;13332.301855334;15532.044164419;10725.459929002;17270.994933051;12127.804790417;25669.324748666;17138.810559486;23541.897730663;11533.512583842;16552.711010092;13690.256808354;10033.67361046;19097.054257852;16547.345386746;17549.629050285;18446.658113901;11917.792701086;19988.095949515;15180.714559556;16053.630617174;23671.640821257;23799.40624158;23112.147070489;23493.790599716;13769.932171253;9785.1245401939;9265.0473276922;16461.643979322;16682.004592695;10652.90267529;16215.893836058;14134.30075123;22084.249320172;22243.242396754;19723.592810228;16250.711420118;11104.458384361;6051.1026862203;21724.8724551;21395.930282699;15089.862827832;12383.322836803;11018.712156238;22916.412464069;12475.10539758;27597.893338724;10971.860523252;16379.432323801;13880.869916355;14399.872692598;10385.266498824;14511.455562388;23234.607762667;10465.694337812;11575.35595781;15480.623997852;15108.814518435;17359.755762846;11581.586227177;14897.073760115;10372.997849393;11986.896955769;11734.480913498;11408.512456579;13780.689489427;16835.143123388;31787.193311345;13894.180763621;17910.094743196;11323.227113123;13055.118733013;19068.117401396;19375.261935102;15557.415919705;22036.45584706;19912.10450718;16216.850079267
300.03881791912;102083.74731121;104878.3898932;82344.917337158;86496.103941242;103054.35628448;126362.62033426;123427.56230954;139818.98139045;143219.41001859;108584.50705031;125606.29385842;97710.739007759;93202.310567247;91890.674135779;91521.444267727;107897.85983697;84354.344039628;78415.285800035;90842.438402116;97556.285747324;91616.14754108;81378.18053482;86228.373487221;84903.339023086;93746.145774293;64851.542535651;103086.7602147;79702.29065626;108379.48576568;78625.93428145;88231.763744984;91804.026586767;86788.563795448;96809.046471841;102473.0697284;94553.700677601;74230.713582815;92952.197510273;80334.17978709;102039.89210663;94689.952028136;108163.74955796;101390.66195981;119846.54583616;106352.47109834;87988.347931587;119246.61665104;115579.45953632;115430.0439595;107795.74657704;111340.79946361;89382.536417794;112825.47010174;97245.724203585;63198.097989951;99987.731539003;108923.6906049;112288.98941084;98609.049252322;113374.97391926;93845.696215932;107260.19279202;90010.755317038;82770.532322217;38938.087909897;112392.00941553;108116.27401212;127490.39289523;107513.59388598;104438.76140906;34890.003937792;25678.225076838;118929.2491699;119621.98073279;116330.64809186;131337.37604344;109494.80015137;88627.909896559
303.23234061941;62188.56245783;64059.478198886;53704.379682101;57750.742311341;52640.009320661;68468.966271876;62625.322891955;56521.611243635;77906.5825621;50384.355297668;60128.749854985;63563.469999608;57295.649228505;67210.30903522;50350.946089913;62658.827738824;63504.879189066;56384.351409205;72562.8755214;74459.664195267;65155.048252177;85042.62816283;76687.393835482;81996.979058647;65883.547803578;63996.521987972;70351.550002889;54059.176514296;60629.646342843;98169.36009835;88683.996634015;84364.443050129;77408.296181291;76363.714352161;94099.374752494;75755.013416756;70308.295215842;74042.563745571;69646.722736069;102874.60882887;97061.437092015;77778.657661544;80190.070256719;82641.608186258;97776.594732473;96009.162686826;87499.183921415;78427.317000885;79359.081434469;79408.1662319;82097.874702404;72099.604737584;86834.836066544;109703.92378895;154211.35842322;84780.25902446;83424.623835596;88356.578171263;74558.16654019;78209.565894292;72282.914035312;85451.389075638;84774.275813645;116601.03116962;124853.80581125;108907.97492249;83099.996385719;92944.543064948;81809.29691477;63806.828822064;97522.22230442;72708.381096794;99455.073264968;90357.057778895;60670.246135901;54831.520424635;83872.863320059;68972.476947736
304.23564351392;16379.844560292;14157.260096603;4993.2247588629;13768.389176161;18104.577279814;12242.398527697;17286.08998;13004.5491336;12211.048864786;9725.2207047111;13868.886003923;12944.197998059;11139.242552551;12546.374094483;8264.1332951681;12715.927451592;14974.924643709;16639.058121709;19355.483536316;16444.281583628;15458.430051232;17736.026656061;25131.401896074;17633.703592677;24969.640993963;21029.524831196;10832.285120252;19154.391277375;15179.321020442;23686.066669389;21108.178920736;22500.255524995;15106.792038725;25063.18493685;23184.145575747;19161.956678875;24946.688622944;19785.865432895;20290.306237972;28667.986577001;15468.744091819;16712.465555789;22880.138324102;18604.33258701;18655.657355562;27738.419718378;19007.172429649;18872.707577124;18706.843184462;16536.167764362;22315.776877746;19966.493721089;18734.784746872;26485.328460252;36407.940315407;24361.826839427;22874.974855153;23050.8055374;23394.386077095;15657.005622378;13518.09048379;24422.178051652;22379.003876806;31139.188039317;29066.536261273;21290.61474086;17725.892919534;18448.009418701;19288.356640781;17578.903118935;28361.980046591;28716.646114729;24412.15820756;14869.643464673;17211.588408759;17462.497953381;23473.331069319;10540.42840301
306.07582677557;28704.122032359;34898.739020642;41332.794324508;34673.188575424;34843.079230253;47930.208668829;36086.957138076;18792.461589211;20104.915063247;33236.756551228;25483.541501497;34100.312829998;28471.363038907;22853.164880934;48072.567124853;41996.618472834;54473.689724945;42609.51076529;34805.246260064;26254.634736006;22626.579294421;36513.378897571;28268.50102995;36912.171134114;46139.951231872;55995.089981999;50876.745572391;31720.002082334;40024.330360169;57102.313386591;37871.518375706;36337.338083965;30060.651907511;36100.689692099;26982.168849061;29989.842178278;37884.313430615;34046.670427628;35528.202511039;36901.812099711;43208.919896871;32284.487249723;32665.583441241;33652.687366504;44487.728857477;31784.902227975;37474.774418045;31958.416628114;37291.860705632;42374.246619091;27595.27634276;37542.30043717;38287.269370624;26198.432383398;35025.942820644;30804.332737474;29168.438755613;31228.891722832;32287.264838237;38636.897767601;30118.264811083;25529.614000932;37867.789289705;38468.189693109;32629.965516344;13249.542458594;18970.401453343;28897.344584751;18788.045198162;24078.127605332;36958.642195101;23655.817668114;28060.606202074;37458.291243321;31619.363676066;26717.928457861;26858.428414914;29770.06064237
307.09828294458;182827.61876738;197878.83504683;148211.10184843;180765.61843332;153491.50691711;186143.62142346;166619.68632257;166179.01789451;208525.3287406;142178.33901218;156738.45254137;190379.70878472;149856.53533032;191028.94693473;146600.57036498;193933.83073694;166701.7854026;149434.56510751;180990.40386921;185233.58867036;151875.59897182;174953.6593477;183217.40703585;165660.46800029;177783.72008424;161138.18601547;190976.26045957;162670.424969;193482.74208393;163638.10332385;172443.70987136;190561.01807124;189516.51834813;164429.79926897;141238.60225205;157615.46244935;158806.96976713;151954.74979808;155092.66139974;147704.63675512;171565.68827318;147624.10696954;197550.44267475;167884.41713868;167448.5139435;156111.72042373;142375.25459661;149248.9620719;133756.0561582;159035.8318518;176316.51375374;155966.58262599;166353.67289528;162654.22968003;138308.58881447;161223.69040554;146454.06730726;165027.82572677;140785.2152218;165555.18620412;163020.72785717;145687.92867715;124758.90525692;152493.73531894;126532.6614336;123609.33488775;132749.57453127;162661.49545765;158424.77691154;154440.58832139;142445.01805903;165823.05367574;154317.52420227;151369.81014539;109446.48044811;129023.59452953;144725.8515872;144373.83453241
308.10161253585;31141.697834619;55119.618163578;39858.396943778;39646.925268313;24240.583223044;33143.53351886;45814.72825423;29678.671954202;43311.366933927;32832.592880204;36352.699839422;42224.106152545;37976.06906724;42809.33341988;40090.663739429;37865.097593615;42835.94604621;35753.713142622;52953.961092719;29916.16724859;31201.492328411;39665.102622993;40955.559391869;34897.847974428;28194.231552521;30262.76014009;49619.385477955;27108.399149618;36309.57639872;35241.709963391;31245.738194053;45069.707664598;31499.591126718;43552.721107728;35742.171866162;31623.812505399;21003.61744147;25629.042997466;22549.988846884;32189.132591476;35137.141084073;34443.885171054;32516.412024555;27438.052980463;31182.436843109;37255.046936196;26096.182498719;32361.504673281;27673.067739628;20594.898052223;30849.766732525;29942.256933237;31457.034085245;46835.444991544;37665.800515264;49318.192924014;30148.734351232;30468.858120573;30398.932426249;30652.034696791;33127.344901012;30176.958108036;25775.074362139;28038.711978782;24961.570396724;24779.374244822;29840.879842491;40820.094097843;33143.388798779;26213.536358793;33280.276221556;33606.148380927;29406.373874168;34088.776582478;26029.260568134;31454.903011221;36404.479216996;27490.983258446
311.16802631593;7135.3891830586;0;6015.8129334187;18303.827929885;0;14525.619110968;0;6520.3763542626;700.74293543922;4527.7774532819;0;0;6093.1227739202;14358.963695563;5423.3595632034;16328.130711185;0;11308.262036885;0;6225.0565065302;0;0;0;78.775881330944;0;8632.7505649031;9984.5416482576;0;4942.8544636478;8767.5837214261;10368.653854893;0;0;5608.8443361054;0;0;8554.8605249757;7697.5018144381;6252.1993786134;10456.127715246;6749.120001426;0;8042.4994305705;4827.9452866381;15946.41746888;14078.074603173;0;6924.4695983809;7131.7021203726;0;6390.3569263419;0;18948.780362459;13557.703472455;12059.032026316;6354.6528323871;0;0;0;6320.0001591456;13538.135579328;21802.466919636;4500.4910807729;10390.078058103;33961.218372097;5619.8524956741;6044.647438673;0;7928.389953128;5674.9778984904;30084.936283678;34390.801806549;5414.1788734472;0;11372.6638303;0;0;12088.290805896
315.04800833858;19838.163874582;15202.552187503;13757.480649596;16911.840106532;18133.766785252;23439.540613671;15937.172907832;13315.968394988;20452.40441295;27465.907517654;23786.071597182;22401.561122792;20290.864040477;15836.403889503;17807.939610428;23935.92361871;24667.853815086;17312.485450846;19906.241467369;17219.291035468;20475.897011262;21734.849140728;25224.535939295;17604.89705077;21461.832652061;15882.445798368;19148.440927864;21007.840298773;20427.64288755;16996.436888544;14705.205443922;19266.01847002;22053.953735383;21661.483687958;18012.98748876;17572.072877208;17110.540443134;13875.065240152;18096.063507198;29677.385196396;25621.854969908;21791.793999392;22460.996939424;19712.400238606;20634.591361104;31418.936252028;19200.725024678;15118.630032449;20769.768100836;21707.377621681;26702.480566348;20433.439837816;13238.287184472;21857.057564853;28295.947796209;22626.915058634;17842.800028202;20681.853795324;16370.677515155;21572.86761768;27140.544174721;16415.135494894;21291.794359774;18796.4969316;23854.940912594;24859.466006612;20043.027291854;26051.215921014;23465.019375149;23574.353722494;28102.217330496;24935.029861904;17888.3788891;18388.180506602;17909.886750014;14512.753298207;27254.784453119;13701.576701614
323.02790657581;34487.039898645;36969.112289541;39063.580644032;42215.259644043;37594.634253146;41377.030402646;46660.425544718;24856.997512884;32688.375133494;34037.923406332;27479.648901034;37656.313046174;34662.080290721;33508.65124871;36761.050360317;29452.814052322;35083.331362327;34232.627265362;33287.991872737;27755.523805956;25409.800574261;31087.75230153;31897.157947992;39844.465466373;34860.964124047;38067.572398038;47017.61692926;42949.36489423;43741.172179616;29456.467885155;28445.385791881;30472.609173808;29603.004951401;35187.827009646;32921.980216648;32383.962129989;33746.333062123;36143.598690935;31700.697808152;31469.739454539;34553.236501508;29146.458294814;26094.899857673;30198.324692692;35299.028846966;29893.778857777;27759.345053277;31936.722864726;36580.340969536;33195.751395146;33800.759051055;25380.970931346;32681.941594501;37129.959639892;42591.280522556;30330.511717891;21016.295004544;29596.803242751;28355.293089055;34761.933734751;27026.173396081;34389.025740331;36822.853342885;33389.436762681;31237.997443218;27493.835576838;28207.839747154;20261.714623457;40911.155297211;24860.211308828;27288.963219234;34820.12610515;32403.006093201;29151.084032157;31981.574555328;27521.750840192;31941.46899248;29648.95040597
