Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4
2226;1.9216411919919;-1.22275317284079;0.76875971003038;0.1783437959058
2227;3.4588912653684;-1.33329183719414;-0.28500553902434;0.079990434218824
2228;2.9627541400812;-1.23958155918941;0.013834820264448;-0.22527240017556
2229;1.7170122725173;-0.4704076403366399;0.014329888161031;-0.2069171325511
2230;0.65005226820817;-0.37237658045162;-0.098023008044248;0.068018197987131
2231;1.5392902255013;-0.61418090487068;-0.12179382757573;-0.19577026950514
2232;2.1345875974115;-0.48974717757451;-0.23244735187421;0.1867674986372
2233;2.8996209199086;-0.5436515324758799;-0.81120075737828;-0.13869463467104
2234;2.2334683416253;-0.46950766393872;-0.21721612227855;0.22572634159059
2235;2.9100396119768;-0.6040571333859099;-0.80453159050419;-0.13575043825143
2236;0.11347186392062;0.1345783474160999;0.085581015077124;0.14687210364487
2237;0.3225610641525;0.1143107220485;-0.12535739540307;0.27115218759847
2238;0.39183133762954;0.1654453250134999;-0.22571391296281;0.20771927714059
2239;1.073661261569;0.2830844926213001;-0.36548479381533;0.047710808523283
2240;1.1573369973471;0.3151783621921999;-0.35641029393703;0.040668935757134
2241;3.1287291171828;-0.60786751209184;-0.72621139853691;-0.11882392572749
2242;2.4646015597239;-0.7500103989326901;-0.32525552296033;0.19312155355269
2243;1.2874438142373;-0.2924030578272499;-0.16011318950981;-0.10678486958637
2244;1.1893761498349;-0.39137054083737;-0.23185529605733;-0.11592690877401
2245;1.4944102115042;-0.59317362733809;-0.048942255734002;-0.13491569868837
2246;1.8258053712436;-0.72622187878548;0.026589222694807;-0.05837660964326
2307;2.1388753000998;-1.19409612325876;0.12328651226767;-0.092314199530688
2308;1.6451637966877;-1.12707710716163;0.45970304303381;-0.041953017371023
2309;2.4911436161735;-1.35711000050612;0.34128349530177;-0.29038455793355
2310;1.7513895631485;-0.956295990317985;0.55148105081181;0.19511120764336
2311;2.3209839611206;-1.12132176321995;0.38770738311944;-0.083080193985187
2312;2.0086423639428;-0.68797277187104;-0.039490531599345;-0.060235069222715
2313;1.802335673132;-0.5702850360655101;-0.12239788254306;-0.080591514278901
2314;0.17244326874904;-0.1202380092921699;-0.20157128176407;0.15846738789691
2315;0.14057762032917;-0.10266631619611;-0.20341941488493;0.143581292648
2316;2.1678552578318;-0.51636674262781;-0.3430147801016;-0.096160524839081
2317;2.2985358618545;-0.55934210128467;-0.30760504533294;-0.075616153251527
2318;1.9553348698695;-0.3401228815220199;-0.28080729607171;0.12579691862812
2319;2.9361735426717;-0.6031167988149599;-0.87319575478583;0.0034949252999356
2320;0.24985245388503;0.3343693015867999;-0.12128993050018;-0.0067577536735912
2321;0.1712656907297;0.3133186056421;-0.17781279580684;0.01574645285611
2322;0.18029324040907;0.3208699485612001;-0.17403865438179;0.0084475461218485
2323;1.0159202954763;0.2571458352883999;-0.39347468361653;0.038319364010817
2324;1.5484164999066;0.0215096240704;-0.21785165042927;0.06411010270077
2325;3.3445244892985;-0.45953377786922;-0.70729146283835;-0.020032284008916
2326;2.9949985829475;-0.4531752443397;-0.94115220142002;-0.048485590553711
2327;2.5272826250555;-0.42466078911138;-0.67968276097018;0.0040864318463411
2328;2.0969685197401;-0.4416088779402399;-0.32740711494733;-0.12853930530282
2329;1.8861431453648;-0.4598183533766;-0.066821956284552;0.057581004194132
2330;2.1212366214854;-0.52373996448139;-0.088559721028675;-0.024152207288578
2331;2.6716977054831;-0.50829962240906;-0.39748495453761;-0.015949139855538
2390;0.17178697208583;-0.72617656515659;0.604080596909;0.02656103185532
2391;0.28597895671834;-0.7044977497703899;0.64261094619599;0.044973383272825
2392;0.76744181986294;-0.6601848413288101;0.56797959872668;0.19078591716744
2393;2.2659286242607;-1.19750091578401;0.4004033565801;-0.10601596950285
2394;2.3136582704274;-1.11974590651382;0.45825419686943;-0.1077241671572
2395;2.3401445738655;-1.15105534920489;0.40971309789694;-0.079624701461171
2396;2.9809527437027;-1.44356954107462;0.22682759751142;-0.26088748151285
2397;2.5651291997644;-0.7702364461903;-0.55182791899555;-0.032678940523477
2398;1.504742789915;-0.82516808563788;-0.41659119712821;0.2637329516929
2399;0.22273483891012;-0.32552032837984;-0.13485217042719;0.16089764429888
2400;1.5310584184026;-0.72169762148477;-0.55062959420944;0.073068616607219
2401;1.5417360901297;-0.4996603790046899;-0.64608282612843;0.10256309166596
2402;1.884170099486;-0.29980487929082;-0.29127115642297;0.09348088851953
2403;3.1280253983944;-0.6594391608310499;-0.9621866569388;0.22687243085506
2404;3.1009997113556;-0.64735436700977;-0.97756249575995;0.22868391849758
2405;0.89574982075158;-0.04709496850072;-0.29217444599978;0.30318480511546
2406;0.27746404371607;0.1385766173034999;-0.15583537218459;0.080334332991958
2407;0.2112362981732;0.0764214275520001;-0.17003332316866;0.099518447243008
2408;0.3010373963695;0.1785060378137999;-0.065901113977797;0.11480588017831
2409;1.2319101069811;-0.49352324658976;-0.18643843920793;0.19808625593621
2410;1.580518001794;-0.2096882087709199;-0.091071303106968;0.094642414563119
2411;1.8892125807186;-0.33972637388363;-0.20188585671193;0.0036465628407535
2412;1.7217445395828;-0.42905237660672;-0.03880721835465;0.059505486759042
2413;1.7642700766249;-0.45515805827025;-0.052113697658483;-0.0012818376626406
2414;1.8054110485911;-0.46372299257757;-0.035617287047901;0.0058816449096837
2415;2.5305141844271;-0.4675689053013699;-0.34321075833404;-0.15142859800302
2416;3.0561013455483;-0.73304333275108;-0.69609462024548;0.16539053190464
2417;2.1317978591916;-0.85905214800592;-0.15621428830434;0.074171794097107
2418;1.4860958244211;-0.965268120206684;0.30762638946231;0.18475242860334
2472;1.678604900285;-1.037910164862684;0.49616551222786;-0.51390021589956
2473;2.0888797127167;-0.980243758062527;0.24708838234733;-0.0070060047672069
2474;1.7023663013253;-0.907843066359345;0.27260776264756;-0.19868245745554
2475;1.079641870846;-0.56178515905971;0.38671426655892;-0.15542763312694
2476;3.5946521700816;-1.23922668414774;-0.0382790277883;-0.057624579603678
2477;3.3516418827319;-1.026446694558711;-0.032552715649413;0.1854462224136
2478;3.3258376689165;-1.056260256397317;-0.079339721012855;0.21323790258899
2479;2.1598455930491;-0.907103464451801;0.14595466684487;-0.05935307674349
2480;1.8813660779344;-0.7288913060133;0.0020699553683918;0.090204300558322
2481;1.821218070337;-0.82677610662878;0.014745403267506;0.097738548716165
2482;1.43026074136;-0.958484342869643;-0.22102188149329;0.055082615038267
2483;1.3753758161367;-0.988253219808339;-0.22800274248726;0.023358085874411
